Country Name,CHE_Mean,CHE_Max,Years_of_Data,GDP_Mean
Tunisia,37.65,37.65,1,3906.94
"Egypt, Arab Rep.",25.36,31.28,4,2648.59
Angola,23.65,35.01,2,3719.12
Georgia,21.4,31.6,17,3118.7
Nicaragua,20.06,28.05,3,1492.44
China,19.8,24.33,3,4661.32
Cameroon,19.29,19.29,1,1604.88
Colombia,18.47,20.01,2,5970.07
Nigeria,18.24,24.77,2,2359.82
Albania,16.47,23.37,5,3601.47
"Yemen, Rep.",16.16,16.34,2,1082.16
Cambodia,16.15,20.79,5,1462.06
Morocco,16.12,20.73,2,2439.43
India,15.47,18.13,8,803.18
Armenia,15.47,25.58,20,2898.85
Sudan,15.41,18.36,2,1226.83
Liberia,15.32,22.79,3,598.51
Uganda,15.04,20.3,6,623.57
Zimbabwe,14.22,14.22,1,3445.45
Myanmar,14.13,14.13,1,1166.73
Moldova,14.07,18.68,23,2560.7
Bangladesh,14.0,15.65,2,438.38
Poland,13.46,14.61,20,10956.83
Brazil,13.44,15.07,2,9494.42
Latvia,12.81,15.46,6,9345.42
"Iran, Islamic Rep.",12.81,17.56,11,4673.65
Panama,12.18,12.18,1,4264.66
Chile,11.96,14.61,2,14068.62
Benin,11.8,16.23,5,1041.65
Israel,11.78,13.04,21,32462.42
Lithuania,11.66,12.85,6,6363.15
Belgium,11.45,11.45,1,44923.34
Peru,11.1,12.66,6,4762.23
Haiti,10.79,12.15,2,1409.61
Togo,10.65,10.65,1,552.5
Romania,10.49,13.42,15,6352.75
Ecuador,10.47,10.47,1,6109.29
Hungary,10.15,12.37,8,8986.95
Nepal,10.06,13.82,4,846.29
Afghanistan,10.02,15.19,2,506.66
Bosnia and Herzegovina,10.01,14.56,2,4341.62
Argentina,9.71,9.71,1,14532.5
South Sudan,9.3,9.3,1,1323.22
Italy,9.29,9.29,1,35856.86
Comoros,8.94,8.94,1,1615.72
Tajikistan,8.84,15.38,7,820.57
"Congo, Rep.",8.57,12.57,2,2597.61
Central African Republic,8.32,9.9,2,464.76
Ukraine,8.18,12.41,18,2709.79
Montenegro,8.12,10.27,11,6317.09
Estonia,8.02,8.02,1,17555.55
Chad,7.93,8.82,3,848.63
Burundi,7.88,12.46,2,198.37
North Macedonia,7.82,10.85,20,4973.19
Kosovo,7.77,8.54,4,3270.2
Azerbaijan,7.43,8.12,4,1067.55
Maldives,7.33,7.33,1,4070.26
Bulgaria,7.28,7.28,1,1770.91
Uzbekistan,7.0,8.14,3,443.57
Eswatini,6.92,8.81,2,2433.92
Guatemala,6.52,9.36,2,2408.97
Syrian Arab Republic,6.21,6.88,2,1578.9
Burkina Faso,6.1,10.67,4,759.86
Guinea-Bissau,5.95,7.0,4,674.39
Costa Rica,5.88,7.41,2,8510.63
Kenya,5.84,5.86,2,1006.29
Belize,5.75,5.75,1,6011.99
Guinea,5.71,10.05,4,694.67
Ireland,5.59,5.59,1,52133.09
Belarus,5.52,13.24,19,5342.3
Philippines,5.33,6.31,4,2203.77
Mongolia,5.28,14.71,6,3459.03
United States,5.16,6.32,17,47038.6
Sri Lanka,5.03,5.55,3,2521.58
Niger,4.83,6.63,5,480.77
Gabon,4.76,5.67,2,6734.8
Mexico,4.69,6.92,2,9620.52
Slovak Republic,4.67,5.32,5,15250.2
"Congo, Dem. Rep.",4.51,4.82,2,295.3
Bhutan,4.37,5.38,3,1874.67
Jamaica,4.32,10.38,15,4975.1
Pakistan,4.13,5.96,7,1014.98
Senegal,4.08,7.75,5,1208.48
Tanzania,3.87,5.08,3,656.0
Kyrgyz Republic,3.62,8.62,21,902.33
Iraq,3.57,3.81,2,4377.08
El Salvador,3.55,4.75,5,4018.23
South Africa,3.41,5.07,2,4527.36
Rwanda,3.41,8.44,4,502.58
Luxembourg,3.38,3.38,1,110885.99
Russian Federation,3.29,4.87,9,7589.36
Trinidad and Tobago,3.23,3.88,2,17127.37
Lao PDR,3.07,3.07,1,313.35
Indonesia,2.97,4.74,21,3008.95
Cabo Verde,2.93,3.81,2,3369.82
Denmark,2.93,2.93,1,58104.54
Suriname,2.9,2.9,1,6084.44
Kazakhstan,2.77,5.11,17,7232.01
Botswana,2.69,4.32,2,5612.07
Timor-Leste,2.66,2.66,1,1224.75
Croatia,2.48,2.8,4,13452.86
Mali,2.39,4.44,12,897.48
Uruguay,2.34,2.34,1,17009.76
Malawi,2.19,3.91,4,529.8
United Kingdom,2.01,2.03,2,35312.06
Ethiopia,1.96,2.93,4,491.78
Jordan,1.83,2.3,3,2888.8
Djibouti,1.7,2.27,2,1071.6
Madagascar,1.6,2.96,3,416.44
Germany,1.54,1.54,1,42396.97
Seychelles,1.44,2.82,2,13802.14
Mozambique,1.38,1.76,4,530.57
Honduras,1.15,1.15,1,1215.14
Namibia,1.0,1.22,2,4538.51
Ghana,0.98,0.98,1,478.61
Zambia,0.77,1.85,3,1266.23
Lesotho,0.71,0.71,1,1069.37
"Gambia, The",0.41,0.61,3,576.43
Vanuatu,0.14,0.14,1,3207.45
Kiribati,0.14,0.14,1,1751.0
