year,Health spending >10%,GDP per capita,Gini index,WGI - Government Effectiveness (GE),Out-of-pocket expenditure
2000,20,252,57,184,232
2001,19,253,48,0,232
2002,33,257,69,186,233
2003,29,257,70,186,235
2004,31,257,76,202,235
2005,35,257,81,204,235
2006,30,258,82,206,235
2007,30,258,72,207,235
2008,29,259,79,208,235
2009,38,261,83,210,235
2010,34,261,86,210,236
2011,30,262,82,212,237
2012,28,260,87,212,237
2013,27,260,77,212,239
2014,30,261,84,212,239
2015,29,260,87,214,239
2016,31,259,83,212,239
2017,23,259,78,212,240
2018,29,259,93,211,241
2019,20,259,78,211,241
2020,12,258,70,211,241
2021,19,258,81,211,241
2022,12,257,73,213,240
2023,2,251,57,213,240
2024,0,240,25,213,24
